id,constituency_id,event_id,created_at,updated_at
1540,3,1,2014-05-20 00:01:57 UTC,2014-05-20 00:01:57 UTC
1541,4,1,2014-05-20 00:06:25 UTC,2014-05-20 00:06:25 UTC
1542,5,1,2014-05-20 00:14:52 UTC,2014-05-20 00:17:43 UTC
1543,5,1,2014-05-20 00:19:13 UTC,2014-05-20 00:19:13 UTC
1544,1,1,2014-05-20 00:23:51 UTC,2014-05-20 00:23:51 UTC
1545,6,1,2014-05-20 00:40:29 UTC,2014-05-20 00:40:29 UTC
1546,5,1,2014-05-20 00:42:26 UTC,2014-05-20 00:42:26 UTC
1547,1,1,2014-05-20 01:08:05 UTC,2014-05-20 01:08:05 UTC
1548,5,1,2014-05-20 01:22:08 UTC,2014-05-20 01:22:08 UTC
1549,1,1,2014-05-20 01:30:10 UTC,2014-05-20 01:30:10 UTC
1550,3,1,2014-05-20 02:00:04 UTC,2014-05-20 02:00:04 UTC
1551,2,1,2014-05-20 02:08:54 UTC,2014-05-20 02:08:54 UTC
1552,4,1,2014-05-20 02:09:45 UTC,2014-05-20 02:09:45 UTC
1553,6,1,2014-05-20 06:24:41 UTC,2014-05-20 06:24:41 UTC
1554,6,1,2014-05-20 07:25:06 UTC,2014-05-20 07:25:06 UTC
1555,5,1,2014-05-20 07:35:43 UTC,2014-05-20 07:35:43 UTC
1556,6,1,2014-05-20 07:50:53 UTC,2014-05-20 07:50:53 UTC
1557,7,1,2014-05-20 08:02:31 UTC,2014-05-20 08:02:31 UTC
1558,1,1,2014-05-20 08:04:41 UTC,2014-05-20 08:04:41 UTC
1559,1,1,2014-05-20 08:06:49 UTC,2014-05-20 08:06:49 UTC
1560,5,1,2014-05-20 08:26:19 UTC,2014-05-20 08:26:19 UTC
1561,4,1,2014-05-20 08:34:13 UTC,2014-05-20 08:34:13 UTC
1562,1,1,2014-05-20 08:37:21 UTC,2014-05-20 08:37:21 UTC
1563,5,1,2014-05-20 09:04:39 UTC,2014-05-20 09:04:39 UTC
1564,7,1,2014-05-20 09:14:03 UTC,2014-05-20 09:14:03 UTC
1565,1,1,2014-05-20 09:26:24 UTC,2014-05-20 09:26:24 UTC
1566,5,1,2014-05-20 09:36:03 UTC,2014-05-20 09:36:03 UTC
1567,1,1,2014-05-20 09:36:36 UTC,2014-05-20 09:36:36 UTC
1568,5,1,2014-05-20 09:37:06 UTC,2014-05-20 09:37:06 UTC
1569,4,1,2014-05-20 09:40:37 UTC,2014-05-20 09:40:37 UTC
1570,7,1,2014-05-20 09:42:26 UTC,2014-05-20 09:42:26 UTC
1624,4,1,2014-05-20 17:31:10 UTC,2014-05-20 17:31:10 UTC
1571,5,1,2014-05-20 09:43:46 UTC,2014-05-20 09:51:32 UTC
1572,4,1,2014-05-20 09:55:52 UTC,2014-05-20 09:55:52 UTC
1573,1,1,2014-05-20 09:56:25 UTC,2014-05-20 09:56:25 UTC
1574,2,1,2014-05-20 09:59:19 UTC,2014-05-20 09:59:19 UTC
1575,1,1,2014-05-20 10:00:42 UTC,2014-05-20 10:00:42 UTC
1576,5,1,2014-05-20 10:00:44 UTC,2014-05-20 10:00:44 UTC
1577,5,1,2014-05-20 10:04:49 UTC,2014-05-20 10:04:49 UTC
1578,1,1,2014-05-20 10:06:28 UTC,2014-05-20 10:06:28 UTC
1579,5,1,2014-05-20 10:12:41 UTC,2014-05-20 10:12:41 UTC
1580,5,1,2014-05-20 10:14:48 UTC,2014-05-20 10:14:48 UTC
1581,6,1,2014-05-20 10:16:37 UTC,2014-05-20 10:16:37 UTC
1582,5,1,2014-05-20 10:19:31 UTC,2014-05-20 10:19:31 UTC
1583,2,1,2014-05-20 10:20:23 UTC,2014-05-20 10:20:23 UTC
1584,4,1,2014-05-20 10:21:06 UTC,2014-05-20 10:21:06 UTC
1585,6,1,2014-05-20 10:21:23 UTC,2014-05-20 10:21:23 UTC
1586,7,1,2014-05-20 10:22:25 UTC,2014-05-20 10:22:25 UTC
1587,1,1,2014-05-20 10:22:27 UTC,2014-05-20 10:22:27 UTC
1588,4,1,2014-05-20 10:23:22 UTC,2014-05-20 10:23:22 UTC
1589,2,1,2014-05-20 10:33:32 UTC,2014-05-20 10:33:32 UTC
1590,4,1,2014-05-20 10:34:46 UTC,2014-05-20 10:34:46 UTC
1591,4,1,2014-05-20 10:40:52 UTC,2014-05-20 10:40:52 UTC
1592,6,1,2014-05-20 10:54:38 UTC,2014-05-20 10:54:38 UTC
1593,7,1,2014-05-20 10:55:08 UTC,2014-05-20 10:55:08 UTC
1594,6,1,2014-05-20 10:57:17 UTC,2014-05-20 10:57:17 UTC
1595,6,1,2014-05-20 11:12:27 UTC,2014-05-20 11:12:27 UTC
1596,6,1,2014-05-20 11:27:21 UTC,2014-05-20 11:27:21 UTC
1597,1,1,2014-05-20 11:30:34 UTC,2014-05-20 11:30:34 UTC
1598,6,1,2014-05-20 11:43:13 UTC,2014-05-20 11:43:13 UTC
1599,7,1,2014-05-20 11:50:53 UTC,2014-05-20 11:50:53 UTC
1600,7,1,2014-05-20 12:01:35 UTC,2014-05-20 12:01:35 UTC
1601,5,1,2014-05-20 12:11:25 UTC,2014-05-20 12:11:25 UTC
1602,4,1,2014-05-20 12:15:20 UTC,2014-05-20 12:15:20 UTC
1603,6,1,2014-05-20 12:26:04 UTC,2014-05-20 12:26:04 UTC
1604,4,1,2014-05-20 12:54:52 UTC,2014-05-20 12:54:52 UTC
1605,2,1,2014-05-20 12:55:52 UTC,2014-05-20 12:55:52 UTC
1606,6,1,2014-05-20 13:00:13 UTC,2014-05-20 13:00:13 UTC
1607,5,1,2014-05-20 13:20:16 UTC,2014-05-20 13:20:16 UTC
1608,1,1,2014-05-20 13:25:04 UTC,2014-05-20 13:25:04 UTC
1609,1,1,2014-05-20 13:30:12 UTC,2014-05-20 13:30:12 UTC
1610,2,1,2014-05-20 13:39:45 UTC,2014-05-20 13:39:45 UTC
1611,1,1,2014-05-20 14:01:55 UTC,2014-05-20 14:01:55 UTC
1612,7,1,2014-05-20 14:06:00 UTC,2014-05-20 14:06:00 UTC
1613,5,1,2014-05-20 14:09:59 UTC,2014-05-20 14:09:59 UTC
1614,3,1,2014-05-20 14:13:48 UTC,2014-05-20 14:13:48 UTC
1615,2,1,2014-05-20 14:28:08 UTC,2014-05-20 14:28:08 UTC
1616,3,1,2014-05-20 14:45:36 UTC,2014-05-20 14:45:36 UTC
1617,7,1,2014-05-20 15:07:12 UTC,2014-05-20 15:07:12 UTC
1618,5,1,2014-05-20 16:10:12 UTC,2014-05-20 16:10:12 UTC
1625,7,1,2014-05-20 18:24:28 UTC,2014-05-20 18:24:28 UTC
1626,1,1,2014-05-20 18:25:24 UTC,2014-05-20 18:25:24 UTC
1627,3,1,2014-05-20 18:26:16 UTC,2014-05-20 18:26:16 UTC
1628,2,1,2014-05-20 18:27:10 UTC,2014-05-20 18:27:10 UTC
1629,1,1,2014-05-20 18:33:06 UTC,2014-05-20 18:33:06 UTC
1630,5,1,2014-05-20 18:33:52 UTC,2014-05-20 18:33:52 UTC
1631,6,1,2014-05-20 18:35:59 UTC,2014-05-20 18:35:59 UTC
1632,2,1,2014-05-20 18:42:31 UTC,2014-05-20 18:42:31 UTC
1633,1,1,2014-05-20 18:44:22 UTC,2014-05-20 18:44:22 UTC
1634,1,1,2014-05-20 19:01:53 UTC,2014-05-20 19:01:53 UTC
1635,1,1,2014-05-20 19:08:05 UTC,2014-05-20 19:08:05 UTC
1636,4,1,2014-05-20 19:50:02 UTC,2014-05-20 19:50:02 UTC
1637,3,1,2014-05-20 19:52:39 UTC,2014-05-20 19:52:39 UTC
1638,2,1,2014-05-20 19:57:31 UTC,2014-05-20 19:57:31 UTC
1639,7,1,2014-05-20 19:57:49 UTC,2014-05-20 19:57:49 UTC
1640,1,1,2014-05-20 20:02:47 UTC,2014-05-20 20:02:47 UTC
1641,5,1,2014-05-20 20:18:18 UTC,2014-05-20 20:18:18 UTC
1642,5,1,2014-05-20 20:18:29 UTC,2014-05-20 20:21:26 UTC
1643,6,1,2014-05-20 20:36:03 UTC,2014-05-20 20:36:03 UTC
1644,7,1,2014-05-20 20:40:39 UTC,2014-05-20 20:40:39 UTC
1646,6,1,2014-05-20 20:53:28 UTC,2014-05-20 20:53:28 UTC
1647,6,1,2014-05-20 20:55:53 UTC,2014-05-20 20:55:53 UTC
1649,1,1,2014-05-20 20:59:54 UTC,2014-05-20 20:59:54 UTC
1650,5,1,2014-05-20 21:00:13 UTC,2014-05-20 21:00:13 UTC
1652,2,1,2014-05-20 21:11:51 UTC,2014-05-20 21:11:51 UTC
1654,6,1,2014-05-20 21:13:30 UTC,2014-05-20 21:13:30 UTC
1656,5,1,2014-05-20 22:10:58 UTC,2014-05-20 22:10:58 UTC
1657,2,1,2014-05-20 22:20:46 UTC,2014-05-20 22:20:46 UTC
1658,2,1,2014-05-20 22:22:51 UTC,2014-05-20 22:22:51 UTC
1659,2,1,2014-05-20 22:30:51 UTC,2014-05-20 22:30:51 UTC
1661,5,1,2014-05-20 22:34:27 UTC,2014-05-20 22:34:27 UTC
1662,1,1,2014-05-20 22:48:34 UTC,2014-05-20 22:48:34 UTC
1663,7,1,2014-05-20 23:11:56 UTC,2014-05-20 23:11:56 UTC
1668,2,1,2014-05-21 03:28:29 UTC,2014-05-21 03:28:29 UTC
1669,3,1,2014-05-21 05:16:37 UTC,2014-05-21 05:16:37 UTC
1671,1,1,2014-05-21 07:06:04 UTC,2014-05-21 07:06:04 UTC
1673,5,1,2014-05-21 08:40:23 UTC,2014-05-21 08:40:23 UTC
1645,6,1,2014-05-20 20:46:53 UTC,2014-05-20 20:46:53 UTC
1648,1,1,2014-05-20 20:58:39 UTC,2014-05-20 20:58:39 UTC
1651,1,1,2014-05-20 21:08:12 UTC,2014-05-20 21:08:12 UTC
1653,7,1,2014-05-20 21:12:47 UTC,2014-05-20 21:12:47 UTC
1655,6,1,2014-05-20 21:16:44 UTC,2014-05-20 21:16:44 UTC
1660,7,1,2014-05-20 22:32:53 UTC,2014-05-20 22:36:04 UTC
1664,5,1,2014-05-20 23:54:43 UTC,2014-05-20 23:54:43 UTC
1665,1,1,2014-05-21 00:16:32 UTC,2014-05-21 00:16:32 UTC
1666,5,1,2014-05-21 00:32:33 UTC,2014-05-21 00:32:33 UTC
1667,1,1,2014-05-21 00:51:14 UTC,2014-05-21 00:51:14 UTC
